STATE_UT,Total Budget,Expenditure,Projected Population as on 01-03-2007 - (In Crore),Per Capita Expenditure,percentage of Expenditure
Andaman and Nicobar,1226.03,142.23,0.04,3277.27,11.6
Andhra Pradesh,55675.78,10120.36,8.16,1240.94,18.18
Arunachal Pradesh,2641.87,347.39,0.12,2934,13.15
Assam,17352.8,4223.83,2.91,1453.84,24.34
Bihar,24763.92,5573.39,9.22,604.44,22.51
Chandigarh,1323.49,281.74,0.12,2424.65,21.29
Chattisgarh,12597.62,2484.71,2.29,1083.47,19.72
Dadra and Nagar Haveli,934.46,32.26,0.03,1148.08,3.45
Daman and Diu,488.36,23.4,0.02,1030.84,4.79
Delhi,10105.48,2264.71,1.65,1373.88,22.41
Goa,2910.59,427.01,0.15,2774.59,14.67
Gujarat,32639.54,5707.01,5.58,1022.6,17.48
Haryana,18135,3392.14,2.37,1428.69,18.7
Himachal Pradesh,7905.37,1690.85,0.65,2590.94,21.39
INDIA(G. TOTAL),1211461.81,161419.92,112.85,1430.37,13.32
Jammu and Kashmir,11685.04,1136.03,1.11,1023.54,9.72
Jharkhand,13095.68,2774.16,2.97,932.65,21.18
Karnataka,37858.74,7456.49,5.69,1310.25,19.7
Kerala,26141.29,5586.17,3.35,1665.77,21.37
Lakshadweep,354.75,41.03,0.01,5544.72,11.57
Madhya Pradesh,26483.64,5042.59,6.76,746.29,19.04
Maharashtra,66229.12,16636.88,10.64,1563.82,25.12
Manipur,2444.31,379.55,0.23,1624.79,15.53
Meghalaya,2733.25,443.12,0.25,1772.47,16.21
Mizoram,1973.82,315.55,0.1,3293.89,15.99
Nagaland,2687.83,370.04,0.21,1724.32,13.77
Orissa,19699.09,3486.68,3.93,887.74,17.7
Puducherry,2227.42,354.28,0.11,3091.45,15.91
Punjab,24493.62,3174.92,2.64,1203.03,12.96
Rajasthan,29881.04,5832.94,6.34,919.92,19.52
Sikkim,2423.29,253.72,0.06,4351.92,10.47
States/UTs Total,622875.81,123325.33,112.85,1092.81,19.8
Tamil Nadu,45601.12,8693.73,6.56,1324.68,19.06
Tripura,2958.38,547.18,0.34,1586.5,18.5
Uttar Pradesh,8155.13,3412.64,18.68,182.73,41.85
Uttaranchal,67550.73,13334.71,0.94,14238.88,19.74
West Bengal,39498.21,7341.88,8.61,852.47,18.59
